股票代码,股票名称,最新价格,市盈率(PE)
600737,中粮糖业,15.54,37.36
300368,汇金股份,19.2,-143.2
688485,九州一轨,14.33,-504.82
605289,罗曼股份,75.26,310.09
688358,祥生医疗,34.93,31.28
300400,劲拓股份,23.2,52.75
300865,大宏立,32.56,172.71
301205,联特科技,95.8,178.56
301668,昊创瑞通,57.93,51.71
688519,南亚新材,70.15,94.44
301093,华兰股份,39.3,73.78
002270,华明装备,24.39,29.66
300164,通源石油,6.38,48.59
603335,迪生力,5.75,-21.3
688183,生益电子,75.87,59.48
002963,豪尔赛,16.96,-37.82
002080,中材科技,31.64,26.91
301326,捷邦科技,128.8,-123.15
688119,中钢洛耐,4.63,79.83
002174,游族网络,12.41,121.66
688310,迈得医疗,21.02,288.99
300476,胜宏科技,281.15,57.09
601399,国机重装,3.65,54.51
301626,苏州天脉,128.76,78.85
600820,隧道股份,7.0,15.14
300121,阳谷华泰,16.02,28.06
300321,同大股份,44.35,234.83
688689,银河微电,28.23,66.84
301489,思泉新材,210.38,278.42
688377,迪威尔,43.59,82.34
300154,瑞凌股份,8.93,40.33
603272,联翔股份,20.07,1116.1
000969,安泰科技,20.63,57.89
002443,金洲管道,8.36,37.63
688328,深科达,28.39,65.07
920001,纬达光电,21.59,175.02
688545,兴福电子,37.17,64.08
300319,麦捷科技,12.16,35.8
301356,天振股份,24.45,53.36
920223,荣亿精密,17.88,-269.17
688001,华兴源创,30.11,85.39
601798,蓝科高新,10.1,80.62
603309,维力医疗,14.31,16.4
002241,歌尔股份,32.26,39.85
002133,广宇集团,3.85,16.44
605133,嵘泰股份,42.42,61.38
600684,珠江股份,5.79,126.85
688608,恒玄科技,266.0,73.47
300111,向日葵,8.98,4979.6
300424,航新科技,17.79,130.94
000593,德龙汇能,7.6,55.16
301413,安培龙,148.98,173.98
688080,映翰通,51.83,28.34
301112,信邦智能,50.3,316.85
688359,三孚新科,60.08,-131.63
605287,德才股份,27.25,40.49
688143,长盈通,42.76,94.58
920090,同辉信息,7.19,-49.81
688603,天承科技,70.07,118.96
002375,亚厦股份,4.16,18.22
600561,江西长运,7.25,180.2
920475,三友科技,18.84,-154.46
000726,鲁  泰Ａ,7.45,8.45
920879,基康技术,24.35,62.85
002134,天津普林,19.63,359.03
920834,三维装备,15.67,43.84
600693,东百集团,6.2,37.68
688060,云涌科技,43.75,-148.54
920407,驰诚股份,21.75,72.17
688100,威胜信息,36.18,29.15
688195,腾景科技,103.24,156.98
688102,斯瑞新材,17.94,92.8
000980,众泰汽车,3.49,-59.5
300221,银禧科技,8.83,37.04
000586,汇源通信,14.01,158.06
603186,华正新材,42.4,70.56
601162,天风证券,5.38,863.21
601208,东材科技,19.3,51.62
000899,赣能股份,10.95,12.19
300167,ST迪威迅,6.51,-399.19
920195,三祥科技,19.35,24.13
688381,帝奥微,29.7,-873.17
603979,金诚信,65.66,18.43
920158,长江能科,18.55,70.22
688078,龙软科技,31.16,235.66
002368,太极股份,27.2,878.64
600067,冠城新材,3.6,128.02
300394,天孚通信,166.75,72.08
603005,晶方科技,30.03,59.4
300942,易瑞生物,10.85,939.3
600491,龙元建设,3.62,39.34
920753,天纺标,25.65,84.19
688629,华丰科技,85.7,131.08
600278,东方创业,7.88,29.69
300004,南风股份,11.75,120.1
603308,应流股份,36.14,65.18
300638,广和通,29.93,52.57
688336,三生国健,61.06,98.94
600617,国新能源,4.64,59.81
300316,晶盛机电,41.18,42.2
001359,平安电工,49.93,34.29
301567,贝隆精密,42.7,130.75
000063,中兴通讯,51.24,24.23
920599,同力股份,19.83,14.28
605060,联德股份,26.79,29.53
300236,上海新阳,59.01,69.36
603808,歌力思,8.66,18.79
603050,科林电气,19.1,23.95
001203,大中矿业,13.78,25.62
300329,海伦钢琴,15.38,-79.6
600361,创新新材,4.36,23.09
688262,国芯科技,29.16,-56.69
603316,诚邦股份,13.68,-173.18
300897,山科智能,31.16,102.02
000031,大悦城,3.38,66.7
000657,中钨高新,17.52,39.12
920943,优机股份,24.9,36.85
002069,獐子岛,4.0,140.13
920476,海能技术,26.08,203.01
300287,飞利信,5.63,-59.78
688087,英科再生,29.81,19.83
301560,众捷汽车,37.3,52.73
600137,浪莎股份,19.78,91.25
002181,粤 传 媒,9.1,50.55
300507,苏奥传感,9.94,69.51
002850,科达利,173.5,30.87
300665,飞鹿股份,9.78,-27.69
920992,中科美菱,21.61,94.62
688019,安集科技,212.69,47.72
688048,长光华芯,73.26,719.5
300985,致远新能,18.62,58.32
920425,乐创技术,23.99,46.59
603986,兆易创新,219.01,126.97
605077,华康股份,18.32,20.76
603223,恒通股份,10.08,30.69
300545,联得装备,30.43,38.6
300191,潜能恒信,21.02,-120.95
600658,电子城,5.78,-21.58
300433,蓝思科技,28.93,66.89
688253,英诺特,32.46,17.78
920751,惠同新材,21.72,39.58
300241,瑞丰光电,5.8,65.69
688521,芯原股份,168.5,-138.48
002146,荣盛发展,1.66,-1.26
603007,*ST花王,6.87,-83.08
688717,艾罗能源,72.9,41.13
603889,新澳股份,7.92,10.69
600696,*ST岩石,5.84,-14.41
002305,*ST南置,2.71,-2.62
002165,红 宝 丽,8.77,132.2
000668,*ST荣控,10.04,-29.47
002602,ST华通,18.19,25.43
920892,广咨国际,17.41,32.13
300517,海波重科,11.95,347.49
301229,纽泰格,21.79,93.85
000908,ST景峰,6.71,-90.63
603389,*ST亚振,40.73,-161.69
600630,龙头股份,9.87,94.46
002005,ST德豪,2.52,-169.4
300452,山河药辅,14.07,18.66
600355,*ST精伦,3.57,-42.96
688525,佰维存储,109.23,-112.89
002426,胜利精密,3.37,-135.19
002214,*ST大立,14.36,-41.89
300375,鹏翎股份,5.08,70.33
002656,*ST摩登,2.54,-43.56
002783,凯龙股份,10.36,24.2
920974,凯大催化,8.67,68.28
301338,凯格精机,64.95,51.46
301367,瑞迈特,90.32,30.81
000609,ST中迪,4.9,-8.64
002515,金字火腿,6.81,179.85
002713,*ST东易,8.75,-35.65
920378,泰德股份,10.88,73.55
600601,方正科技,10.23,126.68
003041,真爱美家,27.06,9.9
002485,ST雪发,3.84,-48.04
688127,蓝特光学,30.76,60.01
002420,毅昌科技,7.9,64.0
002193,如意集团,5.56,-7.6
002231,*ST奥维,3.21,-6.25
300955,嘉亨家化,30.62,-48.02
920184,国源科技,21.67,205.43
002526,山东矿机,3.86,34.95
000501,武商集团,10.51,24.45
000757,浩物股份,5.8,50.77
600880,博瑞传播,4.95,294.93
300065,海兰信,20.5,216.3
688026,洁特生物,19.03,28.82
603256,宏和科技,33.35,167.89
301365,矩阵股份,27.94,62.09
301511,德福科技,31.61,257.38
000517,荣安地产,2.17,94.77
600716,凤凰股份,4.12,174.74
301389,隆扬电子,55.05,143.03
688209,英集芯,23.77,98.28
688668,鼎通科技,96.6,57.12
600528,中铁工业,8.75,14.12
920149,旭杰科技,14.21,-432.64
603328,依顿电子,10.95,20.97
002627,三峡旅游,6.14,34.97
001288,运机集团,25.19,40.32
600320,振华重工,4.84,37.02
600477,杭萧钢构,2.86,26.54
300138,晨光生物,14.99,16.84
688099,晶晨股份,96.05,40.73
000863,三湘印象,3.76,375.13
688172,燕东微,25.88,144.81
002387,维信诺,8.86,-5.83
920039,国义招标,13.32,51.34
603228,景旺电子,61.9,46.92
600533,栖霞建设,2.89,22.92
300779,惠城环保,173.8,3412.29
688025,杰普特,142.89,71.33
603359,东珠生态,9.16,-214.19
600665,天地源,3.58,-12.44
920037,广信科技,87.03,41.25
603786,科博达,93.26,41.77
301055,张小泉,21.74,61.66
002545,东方铁塔,14.59,18.4
002861,瀛通通讯,19.53,-68.65
301080,百普赛斯,60.98,61.07
002463,沪电股份,70.05,40.05
300290,荣科科技,22.86,-268.54
920019,铜冠矿建,22.18,52.16
002630,ST华西,3.17,51.74
920130,立方控股,25.44,-96.75
688013,天臣医疗,58.15,48.94
600249,两面针,6.37,-344.55
600939,重庆建工,3.41,-13.02
600386,北巴传媒,4.79,563.68
301377,鼎泰高科,78.6,100.86
603269,海鸥股份,13.71,60.68
688270,臻镭科技,68.2,117.12
002204,大连重工,6.88,20.35
920837,华原股份,16.29,32.95
000807,云铝股份,22.0,13.78
603598,引力传媒,16.59,140.21
920454,同心传动,18.18,67.1
603375,盛景微,42.23,147.84
920230,欧康医药,14.99,244.37
000632,三木集团,4.17,-9.25
002669,康达新材,13.9,41.21
920931,无锡鼎邦,17.19,67.7
001309,德明利,189.19,-181.97
301196,唯科科技,87.84,37.01
920275,驱动力,9.75,481.7
688002,睿创微纳,79.9,52.38
002482,广田集团,1.86,-49.05
920504,博迅生物,27.72,165.16
920802,保丽洁,17.5,84.06
002478,常宝股份,6.33,11.19
920665,科强股份,13.58,39.97
601068,中铝国际,5.39,78.49
603966,法兰泰克,11.94,19.49
002582,好想你,9.62,-108.55
301213,观想科技,55.5,1556.07
300876,蒙泰高新,28.92,-44.17
688093,世华科技,37.51,27.24
688362,甬矽电子,31.58,213.78
000850,华茂股份,4.71,23.03
002207,准油股份,8.96,-62.03
688239,航宇科技,43.67,46.09
920553,凯腾精工,11.12,45.46
600675,中华企业,3.08,17.87
300081,恒信东方,5.45,-17.16
002659,凯文教育,5.69,2315.69
603677,奇精机械,19.75,46.96
